 CG ITER, OVMR, OVMRUB =           1  126840.1250000  126840.1250000
 CG ITER, OVMR, OVMRUB =           2  122004.1875000  122004.1875000
 CG ITER, OVMR, OVMRUB =           3  121819.8125000  121819.8125000
 CG ITER, OVMR, OVMRUB =           4  117693.9062500  118080.6484375
 CG ITER, OVMR, OVMRUB =           5  104578.6406250  117553.8125000
 CG ITER, OVMR, OVMRUB =           6  103781.5703125  117553.8125000
 CG ITER, OVMR, OVMRUB =           7  102893.1171875  117553.8125000
 CG ITER, OVMR, OVMRUB =           8  102420.3750000  117553.8125000
 CG ITER, OVMR, OVMRUB =           9  102062.8125000  117553.8125000
 CG ITER, OVMR, OVMRUB =          10  101528.5234375  117553.8125000
 CG ITER, OVMR, OVMRUB =          11  101087.0000000  117553.8125000
 CG ITER, OVMR, OVMRUB =          12  100646.6718750  117553.8125000
 CG ITER, OVMR, OVMRUB =          13  100269.8281250  117553.8125000
 CG ITER, OVMR, OVMRUB =          14   99979.3671875  117553.8125000
 CG ITER, OVMR, OVMRUB =          15   99795.1718750  117553.8125000
 CG ITER, OVMR, OVMRUB =          16   99635.0781250  117553.8125000
 CG ITER, OVMR, OVMRUB =          17   99438.3906250  117553.8125000
 CG ITER, OVMR, OVMRUB =          18   99189.4140625  117553.8125000
 CG ITER, OVMR, OVMRUB =          19   99019.3515625  117553.8125000
 CG ITER, OVMR, OVMRUB =          20   98803.4531250  117553.8125000
 CG ITER, OVMR, OVMRUB =          21   98599.6562500  117553.8125000
 CG ITER, OVMR, OVMRUB =          22   98484.6406250  117553.8125000
 CG ITER, OVMR, OVMRUB =          23   98302.4843750  117553.8125000
 CG ITER, OVMR, OVMRUB =          24   98129.0468750  117553.8125000
 CG ITER, OVMR, OVMRUB =          25   97997.8984375  117553.8125000
 CG ITER, OVMR, OVMRUB =          26   97831.6250000  117553.8125000
 CG ITER, OVMR, OVMRUB =          27   97688.9921875  117553.8125000
 CG ITER, OVMR, OVMRUB =          28   97514.6875000  117553.8125000
 CG ITER, OVMR, OVMRUB =          29   97439.8515625  117553.8125000
 CG ITER, OVMR, OVMRUB =          30   97274.8203125  117553.8125000
 CG ITER, OVMR, OVMRUB =          31   97193.0859375  117553.8125000
 CG ITER, OVMR, OVMRUB =          32   97105.4531250  117553.8125000
 CG ITER, OVMR, OVMRUB =          33   96995.4843750  117553.8125000
 CG ITER, OVMR, OVMRUB =          34   96895.6328125  117553.8125000
 CG ITER, OVMR, OVMRUB =          35   96848.4921875  117553.8125000
 CG ITER, OVMR, OVMRUB =          36   96769.0859375  113803.3906250
 CG ITER, OVMR, OVMRUB =          37   96692.6640625  113803.3906250
 CG ITER, OVMR, OVMRUB =          38   96614.0000000  113803.3906250
 CG ITER, OVMR, OVMRUB =          39   96541.8515625  113803.3906250
 CG ITER, OVMR, OVMRUB =          40   96490.5078125  113803.3906250
 CG ITER, OVMR, OVMRUB =          41   96372.0312500  113803.3906250
 CG ITER, OVMR, OVMRUB =          42   96321.5781250  113803.3906250
 CG ITER, OVMR, OVMRUB =          43   96273.5937500  113803.3906250
 CG ITER, OVMR, OVMRUB =          44   96214.0156250  113803.3906250
 CG ITER, OVMR, OVMRUB =          45   96189.9140625  113803.3906250
 CG ITER, OVMR, OVMRUB =          46   96133.1250000  113803.3906250
 CG ITER, OVMR, OVMRUB =          47   96102.0937500  113803.3906250
 CG ITER, OVMR, OVMRUB =          48   96019.9921875  113803.3906250
 CG ITER, OVMR, OVMRUB =          49   95974.9921875  113803.3906250
 CG ITER, OVMR, OVMRUB =          50   95935.8593750  113803.3906250
 CG ITER, OVMR, OVMRUB =          51   95926.9921875  113803.3906250
 CG ITER, OVMR, OVMRUB =          52   95880.3281250  113803.3906250
 CG ITER, OVMR, OVMRUB =          53   95850.2187500  113803.3906250
 CG ITER, OVMR, OVMRUB =          54   95837.6093750  113803.3906250
 CG ITER, OVMR, OVMRUB =          55   95797.5234375  113803.3906250
 CG ITER, OVMR, OVMRUB =          56   95749.4765625  113803.3906250
 CG ITER, OVMR, OVMRUB =          57   95734.3125000  113803.3906250
 CG ITER, OVMR, OVMRUB =          58   95711.8046875  111001.9296875
 CG ITER, OVMR, OVMRUB =          59   95733.6406250  111001.9296875
 CG ITER, OVMR, OVMRUB =          60   95676.5312500  111001.9296875
 CG ITER, OVMR, OVMRUB =          61   95670.5625000  111001.9296875
 CG ITER, OVMR, OVMRUB =          62   95665.7187500  111001.9296875
 CG ITER, OVMR, OVMRUB =          63   95643.3203125  111001.9296875
 CG ITER, OVMR, OVMRUB =          64   95646.9531250  111001.9296875
 CG ITER, OVMR, OVMRUB =          65   95627.8203125  111001.9296875
 CG ITER, OVMR, OVMRUB =          66   95613.9687500  111001.9296875
 CG ITER, OVMR, OVMRUB =          67   95608.7109375  111001.9296875
 CG ITER, OVMR, OVMRUB =          68   95599.3671875  110757.5000000
 CG ITER, OVMR, OVMRUB =          69   95581.5078125  110757.5000000
 CG ITER, OVMR, OVMRUB =          70   95559.9843750  110757.5000000
 CG ITER, OVMR, OVMRUB =          71   95546.6640625  106461.9140625
 CG ITER, OVMR, OVMRUB =          72   95541.7734375  106461.9140625
 CG ITER, OVMR, OVMRUB =          73   95530.6171875  106461.9140625
 CG ITER, OVMR, OVMRUB =          74   95526.0000000  106461.9140625
 CG ITER, OVMR, OVMRUB =          75   95520.3125000  106461.9140625
 CG ITER, OVMR, OVMRUB =          76   95507.0781250  106461.9140625
 CG ITER, OVMR, OVMRUB =          77   95503.2031250  106461.9140625
 CG ITER, OVMR, OVMRUB =          78   95486.9218750  106461.9140625
 CG ITER, OVMR, OVMRUB =          79   95481.1640625  106461.9140625
 CG ITER, OVMR, OVMRUB =          80   95481.5546875  106461.9140625
 CG ITER, OVMR, OVMRUB =          81   95472.7578125  106461.9140625
 CG ITER, OVMR, OVMRUB =          82   95466.6718750  106461.9140625
 CG ITER, OVMR, OVMRUB =          83   95467.4687500  106461.9140625
 CG ITER, OVMR, OVMRUB =          84   95463.6875000  105885.1875000
 CG ITER, OVMR, OVMRUB =          85   95454.1562500  105885.1875000
 CG ITER, OVMR, OVMRUB =          86   95455.1406250  105885.1875000
 CG ITER, OVMR, OVMRUB =          87   95456.4531250  105885.1875000
 CG ITER, OVMR, OVMRUB =          88   95449.0703125  105885.1875000
 CG ITER, OVMR, OVMRUB =          89   95442.3125000  105885.1875000
 CG ITER, OVMR, OVMRUB =          90   95436.5390625  105885.1875000
 CG ITER, OVMR, OVMRUB =          91   95436.4296875  105885.1875000
 CG ITER, OVMR, OVMRUB =          92   95435.7734375  105885.1875000
 CG ITER, OVMR, OVMRUB =          93   95436.8984375  105885.1875000
 CG ITER, OVMR, OVMRUB =          94   95436.0859375  105885.1875000
 CG ITER, OVMR, OVMRUB =          95   95435.3281250  105885.1875000
 CG ITER, OVMR, OVMRUB =          96   95431.4140625  105885.1875000
 CG ITER, OVMR, OVMRUB =          97   95431.4765625  105885.1875000
 CG ITER, OVMR, OVMRUB =          98   95428.3671875  105885.1875000
 CG ITER, OVMR, OVMRUB =          99   95421.6328125  105885.1875000
 CG ITER, OVMR, OVMRUB =         100   95427.3671875  105885.1875000
 CG ITER, OVMR, OVMRUB =         101   95428.8125000  105885.1875000
 CG ITER, OVMR, OVMRUB =         102   95423.4609375  105885.1875000
 CG ITER, OVMR, OVMRUB =         103   95425.0703125  105885.1875000
 CG ITER, OVMR, OVMRUB =         104   95426.8515625  105885.1875000
 CG ITER, OVMR, OVMRUB =         105   95427.1093750  105885.1875000
 CG ITER, OVMR, OVMRUB =         106   95429.2890625  105885.1875000
 CG ITER, OVMR, OVMRUB =         107   95427.6015625  103223.7500000
 CG ITER, OVMR, OVMRUB =         108   95425.7343750  103223.7500000
 CG ITER, OVMR, OVMRUB =         109   95425.2734375  103223.7500000
 CG ITER, OVMR, OVMRUB =         110   95424.9062500  103223.7500000
 CG ITER, OVMR, OVMRUB =         111   95422.4531250  103223.7500000
 CG ITER, OVMR, OVMRUB =         112   95427.4609375  103223.7500000
 CG ITER, OVMR, OVMRUB =         113   95425.7734375  103223.7500000
 CG ITER, OVMR, OVMRUB =         114   95426.0937500  103223.7500000
 CG ITER, OVMR, OVMRUB =         115   95428.3125000  103223.7500000
 CG ITER, OVMR, OVMRUB =         116   95427.2500000  103223.7500000
 CG ITER, OVMR, OVMRUB =         117   95421.9531250  103223.7500000
 CG ITER, OVMR, OVMRUB =         118   95424.3437500  103223.7500000
 CG ITER, OVMR, OVMRUB =         119   95426.7187500  103223.7500000
 CG ITER, OVMR, OVMRUB =         120   95421.1953125  102312.8046875
 CG ITER, OVMR, OVMRUB =         121   95424.3203125  102312.8046875
 CG ITER, OVMR, OVMRUB =         122   95423.7890625  101019.3515625
 CG ITER, OVMR, OVMRUB =         123   95423.9140625  101019.3515625
 CG ITER, OVMR, OVMRUB =         124   95425.6640625  101019.3515625
 CG ITER, OVMR, OVMRUB =         125   95423.8593750  101019.3515625
 CG ITER, OVMR, OVMRUB =         126   95421.4453125  101019.3515625
 CG ITER, OVMR, OVMRUB =         127   95426.7500000  101019.3515625
 CG ITER, OVMR, OVMRUB =         128   95425.4687500  101019.3515625
 CG ITER, OVMR, OVMRUB =         129   95425.4687500  101019.3515625
OVLB =   95425.4687500 OVLUB =  101019.3515625 TIME =      70.1200027
