 CG ITER, OVMR, OVMRUB =           1   75251.5859375   75251.5859375
 CG ITER, OVMR, OVMRUB =           2   71336.6093750   71336.6093750
 CG ITER, OVMR, OVMRUB =           3   67889.8671875   67892.8515625
 CG ITER, OVMR, OVMRUB =           4   60364.7304688   63720.0039062
 CG ITER, OVMR, OVMRUB =           5   58113.0351562   63720.0039062
 CG ITER, OVMR, OVMRUB =           6   57855.4101562   63720.0039062
 CG ITER, OVMR, OVMRUB =           7   57728.4531250   63720.0039062
 CG ITER, OVMR, OVMRUB =           8   57606.9375000   63720.0039062
 CG ITER, OVMR, OVMRUB =           9   57443.7031250   63720.0039062
 CG ITER, OVMR, OVMRUB =          10   57305.2695312   63720.0039062
 CG ITER, OVMR, OVMRUB =          11   57135.0937500   63720.0039062
 CG ITER, OVMR, OVMRUB =          12   57042.6132812   63720.0039062
 CG ITER, OVMR, OVMRUB =          13   56926.2734375   63720.0039062
 CG ITER, OVMR, OVMRUB =          14   56826.1015625   63720.0039062
 CG ITER, OVMR, OVMRUB =          15   56750.9062500   63720.0039062
 CG ITER, OVMR, OVMRUB =          16   56681.8632812   63720.0039062
 CG ITER, OVMR, OVMRUB =          17   56659.2304688   63720.0039062
 CG ITER, OVMR, OVMRUB =          18   56601.4570312   63720.0039062
 CG ITER, OVMR, OVMRUB =          19   56542.1015625   63720.0039062
 CG ITER, OVMR, OVMRUB =          20   56498.0234375   63720.0039062
 CG ITER, OVMR, OVMRUB =          21   56429.7773438   62083.3945312
 CG ITER, OVMR, OVMRUB =          22   56362.5585938   62083.3945312
 CG ITER, OVMR, OVMRUB =          23   56312.2539062   62083.3945312
 CG ITER, OVMR, OVMRUB =          24   56255.3710938   62083.3945312
 CG ITER, OVMR, OVMRUB =          25   56197.7617188   62083.3945312
 CG ITER, OVMR, OVMRUB =          26   56139.9023438   62083.3945312
 CG ITER, OVMR, OVMRUB =          27   56083.2500000   62083.3945312
 CG ITER, OVMR, OVMRUB =          28   56056.3632812   62083.3945312
 CG ITER, OVMR, OVMRUB =          29   56016.5703125   62083.3945312
 CG ITER, OVMR, OVMRUB =          30   55960.8281250   62083.3945312
 CG ITER, OVMR, OVMRUB =          31   55899.6757812   62083.3945312
 CG ITER, OVMR, OVMRUB =          32   55842.9492188   62083.3945312
 CG ITER, OVMR, OVMRUB =          33   55813.0429688   62083.3945312
 CG ITER, OVMR, OVMRUB =          34   55771.7226562   62083.3945312
 CG ITER, OVMR, OVMRUB =          35   55748.6992188   62083.3945312
 CG ITER, OVMR, OVMRUB =          36   55703.8164062   62083.3945312
 CG ITER, OVMR, OVMRUB =          37   55683.5234375   62083.3945312
 CG ITER, OVMR, OVMRUB =          38   55675.4726562   62083.3945312
 CG ITER, OVMR, OVMRUB =          39   55673.5742188   62083.3945312
