 CG ITER, OVMR, OVMRUB =           1  149753.8281250  149753.8125000
 CG ITER, OVMR, OVMRUB =           2  148693.7812500  148693.7656250
 CG ITER, OVMR, OVMRUB =           3  148693.7656250  148693.7656250
 CG ITER, OVMR, OVMRUB =           4  148693.7187500  148693.7656250
 CG ITER, OVMR, OVMRUB =           5  148454.3906250  148693.7656250
 CG ITER, OVMR, OVMRUB =           6  146950.9062500  148693.7656250
 CG ITER, OVMR, OVMRUB =           7  145606.6718750  148693.7656250
 CG ITER, OVMR, OVMRUB =           8  141928.6250000  148693.7656250
 CG ITER, OVMR, OVMRUB =           9  140174.3593750  148693.7656250
 CG ITER, OVMR, OVMRUB =          10  139437.5000000  148693.7656250
 CG ITER, OVMR, OVMRUB =          11  137995.9687500  148693.7656250
 CG ITER, OVMR, OVMRUB =          12  136745.0625000  148693.7656250
 CG ITER, OVMR, OVMRUB =          13  136178.5781250  148693.7656250
 CG ITER, OVMR, OVMRUB =          14  135821.9531250  148693.7656250
 CG ITER, OVMR, OVMRUB =          15  135073.9062500  148693.7656250
 CG ITER, OVMR, OVMRUB =          16  134150.2343750  148693.7656250
 CG ITER, OVMR, OVMRUB =          17  133368.3593750  148693.7656250
 CG ITER, OVMR, OVMRUB =          18  132837.4062500  148693.7656250
 CG ITER, OVMR, OVMRUB =          19  132336.0781250  148693.7656250
 CG ITER, OVMR, OVMRUB =          20  132013.5781250  148693.7656250
 CG ITER, OVMR, OVMRUB =          21  131543.6875000  148693.7656250
 CG ITER, OVMR, OVMRUB =          22  131165.0468750  148693.7656250
 CG ITER, OVMR, OVMRUB =          23  130812.5859375  148693.7656250
 CG ITER, OVMR, OVMRUB =          24  130462.6406250  148693.7656250
 CG ITER, OVMR, OVMRUB =          25  130226.3515625  148693.7656250
 CG ITER, OVMR, OVMRUB =          26  129935.6562500  148693.7656250
 CG ITER, OVMR, OVMRUB =          27  129719.2187500  148693.7656250
 CG ITER, OVMR, OVMRUB =          28  129464.0859375  148693.7656250
 CG ITER, OVMR, OVMRUB =          29  129202.1796875  148693.7656250
 CG ITER, OVMR, OVMRUB =          30  128987.6093750  148693.7656250
 CG ITER, OVMR, OVMRUB =          31  128797.2656250  148693.7656250
 CG ITER, OVMR, OVMRUB =          32  128583.8515625  148693.7656250
 CG ITER, OVMR, OVMRUB =          33  128391.7656250  148693.7656250
 CG ITER, OVMR, OVMRUB =          34  128226.6171875  148693.7656250
 CG ITER, OVMR, OVMRUB =          35  128118.3593750  148693.7656250
 CG ITER, OVMR, OVMRUB =          36  127934.1484375  148693.7656250
 CG ITER, OVMR, OVMRUB =          37  127826.0234375  148693.7656250
 CG ITER, OVMR, OVMRUB =          38  127673.2500000  148693.7656250
 CG ITER, OVMR, OVMRUB =          39  127547.3437500  148693.7656250
 CG ITER, OVMR, OVMRUB =          40  127443.3046875  148693.7656250
 CG ITER, OVMR, OVMRUB =          41  127343.0000000  148693.7656250
 CG ITER, OVMR, OVMRUB =          42  127222.1015625  148693.7656250
 CG ITER, OVMR, OVMRUB =          43  127112.9218750  148693.7656250
 CG ITER, OVMR, OVMRUB =          44  126997.1562500  148693.7656250
 CG ITER, OVMR, OVMRUB =          45  126929.4296875  148693.7656250
