 CG ITER, OVMR, OVMRUB =           1   61415.1015625   61415.1015625
 CG ITER, OVMR, OVMRUB =           2   61415.1015625   61415.1015625
 CG ITER, OVMR, OVMRUB =           3   61415.1015625   61415.1015625
 CG ITER, OVMR, OVMRUB =           4   58669.6796875   60919.0898438
 CG ITER, OVMR, OVMRUB =           5   55147.1875000   60919.0898438
 CG ITER, OVMR, OVMRUB =           6   54655.5781250   60919.0898438
 CG ITER, OVMR, OVMRUB =           7   54460.2539062   60919.0898438
 CG ITER, OVMR, OVMRUB =           8   54205.2304688   60919.0898438
 CG ITER, OVMR, OVMRUB =           9   54108.9492188   60919.0898438
 CG ITER, OVMR, OVMRUB =          10   53913.0937500   60919.0898438
 CG ITER, OVMR, OVMRUB =          11   53740.7968750   60919.0898438
 CG ITER, OVMR, OVMRUB =          12   53645.4921875   60919.0898438
 CG ITER, OVMR, OVMRUB =          13   53550.4726562   60919.0898438
 CG ITER, OVMR, OVMRUB =          14   53449.2109375   60919.0898438
 CG ITER, OVMR, OVMRUB =          15   53366.2304688   60919.0898438
 CG ITER, OVMR, OVMRUB =          16   53302.9179688   60919.0898438
 CG ITER, OVMR, OVMRUB =          17   53223.6015625   60919.0898438
 CG ITER, OVMR, OVMRUB =          18   53162.1679688   60919.0898438
 CG ITER, OVMR, OVMRUB =          19   53048.1132812   60919.0898438
 CG ITER, OVMR, OVMRUB =          20   53030.9960938   60919.0898438
 CG ITER, OVMR, OVMRUB =          21   52954.6757812   60919.0898438
 CG ITER, OVMR, OVMRUB =          22   52912.0468750   60919.0898438
 CG ITER, OVMR, OVMRUB =          23   52883.8125000   60919.0898438
 CG ITER, OVMR, OVMRUB =          24   52844.2734375   58332.3828125
 CG ITER, OVMR, OVMRUB =          25   52812.1406250   58332.3828125
 CG ITER, OVMR, OVMRUB =          26   52782.2695312   58332.3828125
 CG ITER, OVMR, OVMRUB =          27   52736.8515625   58332.3828125
 CG ITER, OVMR, OVMRUB =          28   52699.5078125   58332.3828125
 CG ITER, OVMR, OVMRUB =          29   52642.2226562   58332.3828125
 CG ITER, OVMR, OVMRUB =          30   52634.7031250   58332.3828125
 CG ITER, OVMR, OVMRUB =          31   52615.3125000   58332.3828125
 CG ITER, OVMR, OVMRUB =          32   52601.0312500   58332.3828125
 CG ITER, OVMR, OVMRUB =          33   52586.3203125   58332.3828125
 CG ITER, OVMR, OVMRUB =          34   52510.9726562   57826.1914062
 CG ITER, OVMR, OVMRUB =          35   52488.5117188   57826.1914062
 CG ITER, OVMR, OVMRUB =          36   52466.6992188   57826.1914062
 CG ITER, OVMR, OVMRUB =          37   52443.1328125   57826.1914062
 CG ITER, OVMR, OVMRUB =          38   52442.8164062   57826.1914062
 CG ITER, OVMR, OVMRUB =          39   52430.5234375   57826.1914062
 CG ITER, OVMR, OVMRUB =          40   52414.4296875   57826.1914062
 CG ITER, OVMR, OVMRUB =          41   52407.0585938   57826.1914062
 CG ITER, OVMR, OVMRUB =          42   52384.7304688   57826.1914062
 CG ITER, OVMR, OVMRUB =          43   52370.1484375   57826.1914062
 CG ITER, OVMR, OVMRUB =          44   52364.8476562   57826.1914062
 CG ITER, OVMR, OVMRUB =          45   52359.8710938   57826.1914062
 CG ITER, OVMR, OVMRUB =          46   52347.5976562   57826.1914062
 CG ITER, OVMR, OVMRUB =          47   52335.2656250   57826.1914062
 CG ITER, OVMR, OVMRUB =          48   52333.7773438   57826.1914062
 CG ITER, OVMR, OVMRUB =          49   52333.6210938   57826.1914062
 CG ITER, OVMR, OVMRUB =          50   52326.3046875   57826.1914062
 CG ITER, OVMR, OVMRUB =          51   52323.9609375   57826.1914062
 CG ITER, OVMR, OVMRUB =          52   52319.3398438   57826.1914062
 CG ITER, OVMR, OVMRUB =          53   52323.1757812   57826.1914062
 CG ITER, OVMR, OVMRUB =          54   52303.9257812   57826.1914062
 CG ITER, OVMR, OVMRUB =          55   52300.2968750   57826.1914062
 CG ITER, OVMR, OVMRUB =          56   52296.5742188   57826.1914062
 CG ITER, OVMR, OVMRUB =          57   52296.9179688   57826.1914062
 CG ITER, OVMR, OVMRUB =          58   52298.1835938   56895.5078125
 CG ITER, OVMR, OVMRUB =          59   52298.7382812   56895.5078125
 CG ITER, OVMR, OVMRUB =          60   52279.0234375   56895.5078125
 CG ITER, OVMR, OVMRUB =          61   52275.5937500   56895.5078125
 CG ITER, OVMR, OVMRUB =          62   52273.9375000   56895.5078125
 CG ITER, OVMR, OVMRUB =          63   52274.1562500   56895.5078125
 CG ITER, OVMR, OVMRUB =          64   52275.1523438   56895.5078125
 CG ITER, OVMR, OVMRUB =          65   52275.8203125   56895.5078125
 CG ITER, OVMR, OVMRUB =          66   52275.3085938   56895.5078125
 CG ITER, OVMR, OVMRUB =          67   52270.5429688   56895.5078125
 CG ITER, OVMR, OVMRUB =          68   52262.4179688   56895.5078125
 CG ITER, OVMR, OVMRUB =          69   52269.3398438   56895.5078125
 CG ITER, OVMR, OVMRUB =          70   52265.9726562   56895.5078125
 CG ITER, OVMR, OVMRUB =          71   52265.6054688   56895.5078125
 CG ITER, OVMR, OVMRUB =          72   52266.9531250   56895.5078125
 CG ITER, OVMR, OVMRUB =          73   52266.4140625   56895.5078125
 CG ITER, OVMR, OVMRUB =          74   52262.8906250   56895.5078125
 CG ITER, OVMR, OVMRUB =          75   52257.3007812   55982.5273438
 CG ITER, OVMR, OVMRUB =          76   52264.0703125   55982.5273438
 CG ITER, OVMR, OVMRUB =          77   52263.0507812   54957.0937500
 CG ITER, OVMR, OVMRUB =          78   52265.4570312   54957.0937500
 CG ITER, OVMR, OVMRUB =          79   52266.1250000   54957.0937500
 CG ITER, OVMR, OVMRUB =          80   52258.2578125   54957.0937500
 CG ITER, OVMR, OVMRUB =          81   52258.0546875   54957.0937500
