 CG ITER, OVMR, OVMRUB =           1  104235.1796875  104235.1640625
 CG ITER, OVMR, OVMRUB =           2  104235.1718750  104235.1640625
 CG ITER, OVMR, OVMRUB =           3  104235.1406250  104235.1640625
 CG ITER, OVMR, OVMRUB =           4  104085.3593750  104235.1640625
 CG ITER, OVMR, OVMRUB =           5  104189.4843750  104235.1640625
 CG ITER, OVMR, OVMRUB =           6  103907.4453125  104235.1640625
 CG ITER, OVMR, OVMRUB =           7  102321.3750000  104235.1640625
 CG ITER, OVMR, OVMRUB =           8  102007.5625000  104235.1640625
 CG ITER, OVMR, OVMRUB =           9   99366.6328125  104235.1640625
 CG ITER, OVMR, OVMRUB =          10   98234.5546875  104235.1640625
 CG ITER, OVMR, OVMRUB =          11   97063.1796875  104235.1640625
 CG ITER, OVMR, OVMRUB =          12   96166.6484375  104235.1640625
 CG ITER, OVMR, OVMRUB =          13   95873.6484375  104235.1640625
 CG ITER, OVMR, OVMRUB =          14   95729.0312500  104235.1640625
 CG ITER, OVMR, OVMRUB =          15   95605.4218750  104235.1640625
 CG ITER, OVMR, OVMRUB =          16   95651.1953125  104235.1640625
 CG ITER, OVMR, OVMRUB =          17   95765.1484375  104235.1640625
 CG ITER, OVMR, OVMRUB =          18   95921.1875000  104235.1640625
 CG ITER, OVMR, OVMRUB =          19   95908.6718750  104235.1640625
 CG ITER, OVMR, OVMRUB =          20   95877.1640625  104235.1640625
 CG ITER, OVMR, OVMRUB =          21   95675.3046875  104235.1640625
 CG ITER, OVMR, OVMRUB =          22   95603.1562500  104235.1640625
 CG ITER, OVMR, OVMRUB =          23   95468.5078125  104235.1640625
 CG ITER, OVMR, OVMRUB =          24   95226.4921875  104235.1640625
 CG ITER, OVMR, OVMRUB =          25   95001.4609375  104235.1640625
 CG ITER, OVMR, OVMRUB =          26   94746.8046875  104235.1640625
 CG ITER, OVMR, OVMRUB =          27   94544.0546875  104235.1640625
 CG ITER, OVMR, OVMRUB =          28   94367.1875000  104235.1640625
 CG ITER, OVMR, OVMRUB =          29   94236.7656250  104235.1640625
 CG ITER, OVMR, OVMRUB =          30   94128.5937500  104235.1640625
 CG ITER, OVMR, OVMRUB =          31   93937.8515625  104235.1640625
 CG ITER, OVMR, OVMRUB =          32   93769.3046875  104235.1640625
 CG ITER, OVMR, OVMRUB =          33   93636.9453125  104235.1640625
 CG ITER, OVMR, OVMRUB =          34   93502.2968750  104235.1640625
 CG ITER, OVMR, OVMRUB =          35   93354.7890625  104235.1640625
 CG ITER, OVMR, OVMRUB =          36   93259.6093750  104235.1640625
 CG ITER, OVMR, OVMRUB =          37   93149.1640625  104235.1640625
 CG ITER, OVMR, OVMRUB =          38   93023.9921875  104235.1640625
 CG ITER, OVMR, OVMRUB =          39   92940.6796875  104235.1640625
 CG ITER, OVMR, OVMRUB =          40   92831.7812500  104235.1640625
 CG ITER, OVMR, OVMRUB =          41   92739.6562500  104235.1640625
 CG ITER, OVMR, OVMRUB =          42   92667.6796875  104235.1640625
 CG ITER, OVMR, OVMRUB =          43   92603.4921875  104235.1640625
 CG ITER, OVMR, OVMRUB =          44   92549.3750000  104235.1640625
 CG ITER, OVMR, OVMRUB =          45   92475.3515625  104235.1640625
 CG ITER, OVMR, OVMRUB =          46   92403.8437500  104235.1640625
 CG ITER, OVMR, OVMRUB =          47   92328.0234375  104235.1640625
 CG ITER, OVMR, OVMRUB =          48   92277.0859375  104235.1640625
 CG ITER, OVMR, OVMRUB =          49   92208.0703125  104235.1640625
 CG ITER, OVMR, OVMRUB =          50   92134.7109375  104235.1640625
 CG ITER, OVMR, OVMRUB =          51   92110.1562500  104235.1640625
 CG ITER, OVMR, OVMRUB =          52   92042.4921875  104235.1640625
 CG ITER, OVMR, OVMRUB =          53   91997.8437500  104235.1640625
 CG ITER, OVMR, OVMRUB =          54   91934.5859375  104235.1640625
 CG ITER, OVMR, OVMRUB =          55   91887.1875000  104235.1640625
 CG ITER, OVMR, OVMRUB =          56   91835.3984375  104235.1640625
 CG ITER, OVMR, OVMRUB =          57   91793.6953125  104235.1640625
 CG ITER, OVMR, OVMRUB =          58   91733.5859375  104235.1640625
 CG ITER, OVMR, OVMRUB =          59   91711.0312500  104235.1640625
