 CG ITER, OVMR, OVMRUB =           1   22421.1152344   22421.1093750
 CG ITER, OVMR, OVMRUB =           2   22421.1093750   22421.1093750
 CG ITER, OVMR, OVMRUB =           3   22421.1093750   22421.1093750
 CG ITER, OVMR, OVMRUB =           4   21788.2832031   22421.1093750
 CG ITER, OVMR, OVMRUB =           5   19421.9707031   22421.1093750
 CG ITER, OVMR, OVMRUB =           6   20104.3984375   22421.1093750
 CG ITER, OVMR, OVMRUB =           7   20563.6679688   22421.1093750
 CG ITER, OVMR, OVMRUB =           8   20923.3164062   22421.1093750
 CG ITER, OVMR, OVMRUB =           9   21200.6914062   22421.1093750
 CG ITER, OVMR, OVMRUB =          10   21359.9531250   22421.1093750
 CG ITER, OVMR, OVMRUB =          11   21258.3730469   22421.1093750
 CG ITER, OVMR, OVMRUB =          12   20910.1562500   22421.1093750
 CG ITER, OVMR, OVMRUB =          13   21138.0722656   22421.1093750
 CG ITER, OVMR, OVMRUB =          14   19215.0117188   22421.1093750
 CG ITER, OVMR, OVMRUB =          15   19129.8261719   22421.1093750
 CG ITER, OVMR, OVMRUB =          16   18774.0410156   22421.1093750
 CG ITER, OVMR, OVMRUB =          17   18490.8105469   22421.1093750
 CG ITER, OVMR, OVMRUB =          18   18597.1074219   22421.1093750
 CG ITER, OVMR, OVMRUB =          19   18681.9472656   22421.1093750
 CG ITER, OVMR, OVMRUB =          20   18765.7148438   22421.1093750
 CG ITER, OVMR, OVMRUB =          21   18832.5253906   22421.1093750
 CG ITER, OVMR, OVMRUB =          22   18912.1777344   22421.1093750
 CG ITER, OVMR, OVMRUB =          23   18977.7812500   22421.1093750
 CG ITER, OVMR, OVMRUB =          24   19044.6660156   22421.1093750
 CG ITER, OVMR, OVMRUB =          25   19099.4003906   22421.1093750
 CG ITER, OVMR, OVMRUB =          26   19157.9902344   22421.1093750
 CG ITER, OVMR, OVMRUB =          27   19202.2246094   22421.1093750
 CG ITER, OVMR, OVMRUB =          28   19268.0351562   22421.1093750
 CG ITER, OVMR, OVMRUB =          29   19313.3886719   22421.1093750
 CG ITER, OVMR, OVMRUB =          30   19349.6015625   22421.1093750
 CG ITER, OVMR, OVMRUB =          31   19388.8652344   22421.1093750
 CG ITER, OVMR, OVMRUB =          32   19432.5234375   22421.1093750
 CG ITER, OVMR, OVMRUB =          33   19477.3320312   22421.1093750
 CG ITER, OVMR, OVMRUB =          34   19520.6406250   22421.1093750
 CG ITER, OVMR, OVMRUB =          35   19547.9824219   22421.1093750
 CG ITER, OVMR, OVMRUB =          36   19581.9960938   22421.1093750
 CG ITER, OVMR, OVMRUB =          37   19618.8984375   22421.1093750
 CG ITER, OVMR, OVMRUB =          38   19666.5273438   22421.1093750
 CG ITER, OVMR, OVMRUB =          39   19689.9941406   22421.1093750
 CG ITER, OVMR, OVMRUB =          40   19723.3242188   22421.1093750
 CG ITER, OVMR, OVMRUB =          41   19762.7304688   22421.1093750
 CG ITER, OVMR, OVMRUB =          42   19786.2636719   22421.1093750
 CG ITER, OVMR, OVMRUB =          43   19828.2109375   22421.1093750
 CG ITER, OVMR, OVMRUB =          44   19857.2792969   22421.1093750
 CG ITER, OVMR, OVMRUB =          45   19886.0605469   22421.1093750
 CG ITER, OVMR, OVMRUB =          46   19918.0332031   22421.1093750
 CG ITER, OVMR, OVMRUB =          47   19948.4746094   22421.1093750
 CG ITER, OVMR, OVMRUB =          48   19974.9238281   22421.1093750
 CG ITER, OVMR, OVMRUB =          49   20009.1972656   22421.1093750
 CG ITER, OVMR, OVMRUB =          50   20035.7324219   22421.1093750
 CG ITER, OVMR, OVMRUB =          51   20061.4375000   22421.1093750
 CG ITER, OVMR, OVMRUB =          52   20088.8222656   22421.1093750
 CG ITER, OVMR, OVMRUB =          53   20139.4980469   22421.1093750
 CG ITER, OVMR, OVMRUB =          54   20162.0156250   22413.8691406
 CG ITER, OVMR, OVMRUB =          55   20183.7597656   22413.8691406
 CG ITER, OVMR, OVMRUB =          56   20215.0937500   22413.8691406
 CG ITER, OVMR, OVMRUB =          57   20241.4804688   22413.8691406
 CG ITER, OVMR, OVMRUB =          58   20266.3964844   22413.8691406
 CG ITER, OVMR, OVMRUB =          59   20291.1992188   22413.8691406
 CG ITER, OVMR, OVMRUB =          60   20313.7656250   22413.8691406
 CG ITER, OVMR, OVMRUB =          61   20340.8437500   22413.8691406
 CG ITER, OVMR, OVMRUB =          62   20358.0585938   22413.8691406
 CG ITER, OVMR, OVMRUB =          63   20396.1015625   22413.8691406
 CG ITER, OVMR, OVMRUB =          64   20421.7792969   22413.8691406
 CG ITER, OVMR, OVMRUB =          65   20442.6445312   22413.8691406
 CG ITER, OVMR, OVMRUB =          66   20462.9082031   22413.8691406
 CG ITER, OVMR, OVMRUB =          67   20497.9121094   22413.8691406
 CG ITER, OVMR, OVMRUB =          68   20497.3222656   22413.8691406
 CG ITER, OVMR, OVMRUB =          69   20526.7890625   22413.8691406
 CG ITER, OVMR, OVMRUB =          70   20544.5761719   22413.8691406
 CG ITER, OVMR, OVMRUB =          71   20569.5839844   22413.8691406
 CG ITER, OVMR, OVMRUB =          72   20592.9785156   22413.8691406
 CG ITER, OVMR, OVMRUB =          73   20617.2675781   22413.8691406
 CG ITER, OVMR, OVMRUB =          74   20636.7675781   22413.8691406
 CG ITER, OVMR, OVMRUB =          75   20658.3125000   22413.8691406
 CG ITER, OVMR, OVMRUB =          76   20677.9531250   22413.8691406
 CG ITER, OVMR, OVMRUB =          77   20704.1210938   22413.8691406
 CG ITER, OVMR, OVMRUB =          78   20726.4941406   22413.8691406
 CG ITER, OVMR, OVMRUB =          79   20741.9843750   22413.8691406
 CG ITER, OVMR, OVMRUB =          80   20765.8886719   22413.8691406
 CG ITER, OVMR, OVMRUB =          81   20784.1894531   22413.8691406
 CG ITER, OVMR, OVMRUB =          82   20804.3222656   22413.8691406
 CG ITER, OVMR, OVMRUB =          83   20821.5117188   22413.8691406
 CG ITER, OVMR, OVMRUB =          84   20841.9863281   22413.8691406
 CG ITER, OVMR, OVMRUB =          85   20856.2578125   22413.8691406
 CG ITER, OVMR, OVMRUB =          86   20873.0039062   22413.8691406
 CG ITER, OVMR, OVMRUB =          87   20893.8164062   22413.8691406
 CG ITER, OVMR, OVMRUB =          88   20919.0429688   22413.8691406
 CG ITER, OVMR, OVMRUB =          89   20926.0976562   22413.8691406
 CG ITER, OVMR, OVMRUB =          90   20937.2636719   22413.8691406
 CG ITER, OVMR, OVMRUB =          91   20961.1367188   22413.8691406
 CG ITER, OVMR, OVMRUB =          92   20967.2343750   22413.8691406
 CG ITER, OVMR, OVMRUB =          93   20978.3144531   22413.8691406
 CG ITER, OVMR, OVMRUB =          94   20966.1484375   22413.8691406
 CG ITER, OVMR, OVMRUB =          95   20979.3359375   22413.8691406
 CG ITER, OVMR, OVMRUB =          96   20990.7890625   22413.8691406
 CG ITER, OVMR, OVMRUB =          97   21004.9550781   22413.8691406
 CG ITER, OVMR, OVMRUB =          98   21018.9843750   22413.8691406
 CG ITER, OVMR, OVMRUB =          99   21018.6679688   22413.8691406
 CG ITER, OVMR, OVMRUB =         100   21023.8710938   22413.8691406
 CG ITER, OVMR, OVMRUB =         101   21029.2871094   22413.8691406
 CG ITER, OVMR, OVMRUB =         102   21033.0312500   22413.8691406
 CG ITER, OVMR, OVMRUB =         103   21040.8554688   22413.8691406
 CG ITER, OVMR, OVMRUB =         104   21044.7656250   22413.8691406
 CG ITER, OVMR, OVMRUB =         105   21047.9804688   22413.8691406
 CG ITER, OVMR, OVMRUB =         106   21050.8671875   22413.8691406
 CG ITER, OVMR, OVMRUB =         107   21055.1484375   22413.8691406
 CG ITER, OVMR, OVMRUB =         108   21055.1484375   22413.8691406
OVLB =   21055.1484375 OVLUB =   22413.8691406 TIME =      30.9699993
