 CG ITER, OVMR, OVMRUB =           1   64237.9960938   64237.9921875
 CG ITER, OVMR, OVMRUB =           2   64237.9921875   64237.9921875
 CG ITER, OVMR, OVMRUB =           3   64237.9765625   64237.9921875
 CG ITER, OVMR, OVMRUB =           4   64237.9609375   64237.9921875
 CG ITER, OVMR, OVMRUB =           5   62899.1953125   64237.9921875
 CG ITER, OVMR, OVMRUB =           6   62873.3242188   64237.9921875
 CG ITER, OVMR, OVMRUB =           7   62589.1445312   64237.9921875
 CG ITER, OVMR, OVMRUB =           8   62464.8710938   64237.9921875
 CG ITER, OVMR, OVMRUB =           9   62172.6718750   64237.9921875
 CG ITER, OVMR, OVMRUB =          10   62021.1171875   64237.9921875
 CG ITER, OVMR, OVMRUB =          11   61997.1367188   64237.9921875
 CG ITER, OVMR, OVMRUB =          12   61879.0117188   64237.9921875
 CG ITER, OVMR, OVMRUB =          13   61665.5234375   64237.9921875
 CG ITER, OVMR, OVMRUB =          14   61503.2578125   64237.9921875
 CG ITER, OVMR, OVMRUB =          15   61424.4531250   64237.9921875
 CG ITER, OVMR, OVMRUB =          16   61311.3476562   64237.9921875
 CG ITER, OVMR, OVMRUB =          17   61224.3359375   64237.9921875
 CG ITER, OVMR, OVMRUB =          18   61077.1210938   64237.9921875
 CG ITER, OVMR, OVMRUB =          19   60925.9765625   64237.9921875
 CG ITER, OVMR, OVMRUB =          20   60821.3632812   64237.9921875
 CG ITER, OVMR, OVMRUB =          21   60739.7421875   64237.9921875
 CG ITER, OVMR, OVMRUB =          22   60644.9570312   64237.9921875
 CG ITER, OVMR, OVMRUB =          23   60522.9062500   64237.9921875
 CG ITER, OVMR, OVMRUB =          24   60452.1093750   64237.9921875
 CG ITER, OVMR, OVMRUB =          25   60359.5546875   64237.9921875
 CG ITER, OVMR, OVMRUB =          26   60300.0351562   64237.9921875
 CG ITER, OVMR, OVMRUB =          27   60236.1992188   64237.9921875
 CG ITER, OVMR, OVMRUB =          28   60152.2695312   64237.9921875
 CG ITER, OVMR, OVMRUB =          29   60099.8242188   64237.9921875
 CG ITER, OVMR, OVMRUB =          30   60054.5664062   64237.9921875
 CG ITER, OVMR, OVMRUB =          31   59991.2109375   64237.9921875
 CG ITER, OVMR, OVMRUB =          32   59944.2070312   64237.9921875
 CG ITER, OVMR, OVMRUB =          33   59904.4257812   64237.9921875
 CG ITER, OVMR, OVMRUB =          34   59868.0351562   64237.9921875
 CG ITER, OVMR, OVMRUB =          35   59819.3828125   64237.9921875
 CG ITER, OVMR, OVMRUB =          36   59777.9843750   64237.9921875
 CG ITER, OVMR, OVMRUB =          37   59747.4531250   64237.9921875
