 CG ITER, OVMR, OVMRUB =           1  104318.0000000  104318.0000000
 CG ITER, OVMR, OVMRUB =           2  103942.9140625  103942.9375000
 CG ITER, OVMR, OVMRUB =           3  103942.9375000  103942.9375000
 CG ITER, OVMR, OVMRUB =           4  103942.9140625  103942.9375000
 CG ITER, OVMR, OVMRUB =           5  102128.6093750  103942.9375000
 CG ITER, OVMR, OVMRUB =           6  102729.7656250  103942.9375000
 CG ITER, OVMR, OVMRUB =           7  101220.4218750  103942.9375000
 CG ITER, OVMR, OVMRUB =           8   99770.0078125  103942.9375000
 CG ITER, OVMR, OVMRUB =           9   99099.2187500  103942.9375000
 CG ITER, OVMR, OVMRUB =          10   98141.0625000  103942.9375000
 CG ITER, OVMR, OVMRUB =          11   97322.2500000  103942.9375000
 CG ITER, OVMR, OVMRUB =          12   96998.3437500  103942.9375000
 CG ITER, OVMR, OVMRUB =          13   96467.2890625  103942.9375000
 CG ITER, OVMR, OVMRUB =          14   96248.4687500  103942.9375000
 CG ITER, OVMR, OVMRUB =          15   95878.4765625  103942.9375000
 CG ITER, OVMR, OVMRUB =          16   95792.0156250  103942.9375000
 CG ITER, OVMR, OVMRUB =          17   95812.6796875  103942.9375000
 CG ITER, OVMR, OVMRUB =          18   95600.4296875  103942.9375000
 CG ITER, OVMR, OVMRUB =          19   95505.7031250  103942.9375000
 CG ITER, OVMR, OVMRUB =          20   95495.1796875  103942.9375000
 CG ITER, OVMR, OVMRUB =          21   95324.8437500  103942.9375000
 CG ITER, OVMR, OVMRUB =          22   95120.4921875  103942.9375000
 CG ITER, OVMR, OVMRUB =          23   94845.5781250  103942.9375000
 CG ITER, OVMR, OVMRUB =          24   94621.8515625  103942.9375000
 CG ITER, OVMR, OVMRUB =          25   94354.5156250  103942.9375000
 CG ITER, OVMR, OVMRUB =          26   94191.1406250  103942.9375000
 CG ITER, OVMR, OVMRUB =          27   94012.3046875  103942.9375000
 CG ITER, OVMR, OVMRUB =          28   93847.7031250  103942.9375000
 CG ITER, OVMR, OVMRUB =          29   93810.5625000  103942.9375000
 CG ITER, OVMR, OVMRUB =          30   93649.3984375  103942.9375000
 CG ITER, OVMR, OVMRUB =          31   93473.4765625  103942.9375000
 CG ITER, OVMR, OVMRUB =          32   93367.9296875  103942.9375000
 CG ITER, OVMR, OVMRUB =          33   93200.4609375  103942.9375000
 CG ITER, OVMR, OVMRUB =          34   93093.0078125  103942.9375000
 CG ITER, OVMR, OVMRUB =          35   92956.0234375  103942.9375000
 CG ITER, OVMR, OVMRUB =          36   92837.0000000  103942.9375000
 CG ITER, OVMR, OVMRUB =          37   92735.6562500  103942.9375000
 CG ITER, OVMR, OVMRUB =          38   92651.3359375  103942.9375000
 CG ITER, OVMR, OVMRUB =          39   92561.1250000  103942.9375000
 CG ITER, OVMR, OVMRUB =          40   92480.0859375  103942.9375000
 CG ITER, OVMR, OVMRUB =          41   92412.3515625  103942.9375000
 CG ITER, OVMR, OVMRUB =          42   92321.6093750  103942.9375000
 CG ITER, OVMR, OVMRUB =          43   92222.6640625  103942.9375000
 CG ITER, OVMR, OVMRUB =          44   92164.5234375  103942.9375000
 CG ITER, OVMR, OVMRUB =          45   92095.8906250  103942.9375000
 CG ITER, OVMR, OVMRUB =          46   92035.4062500  103942.9375000
 CG ITER, OVMR, OVMRUB =          47   91976.7968750  103942.9375000
 CG ITER, OVMR, OVMRUB =          48   91907.2656250  103942.9375000
 CG ITER, OVMR, OVMRUB =          49   91860.8671875  103942.9375000
 CG ITER, OVMR, OVMRUB =          50   91818.1328125  103942.9375000
 CG ITER, OVMR, OVMRUB =          51   91764.6484375  103942.9375000
 CG ITER, OVMR, OVMRUB =          52   91708.9062500  103942.9375000
 CG ITER, OVMR, OVMRUB =          53   91670.8125000  103942.9375000
 CG ITER, OVMR, OVMRUB =          54   91628.9531250  103942.9375000
 CG ITER, OVMR, OVMRUB =          55   91593.7500000  103942.9375000
 CG ITER, OVMR, OVMRUB =          56   91547.1406250  103942.9375000
 CG ITER, OVMR, OVMRUB =          57   91514.1484375  103942.9375000
 CG ITER, OVMR, OVMRUB =          58   91485.9687500  103942.9375000
 CG ITER, OVMR, OVMRUB =          59   91446.5859375  103942.9375000
 CG ITER, OVMR, OVMRUB =          60   91418.0625000  103942.9375000
 CG ITER, OVMR, OVMRUB =          61   91385.7890625  103942.9375000
 CG ITER, OVMR, OVMRUB =          62   91367.5625000  103942.9375000
 CG ITER, OVMR, OVMRUB =          63   91333.4531250  103942.9375000
