 CG ITER, OVMR, OVMRUB =           1   64938.6015625   64938.5937500
 CG ITER, OVMR, OVMRUB =           2   64938.6015625   64938.5937500
 CG ITER, OVMR, OVMRUB =           3   64020.3046875   64020.2929688
 CG ITER, OVMR, OVMRUB =           4   64020.2929688   64020.2929688
 CG ITER, OVMR, OVMRUB =           5   64020.2929688   64020.2929688
 CG ITER, OVMR, OVMRUB =           6   64020.2929688   64020.2929688
 CG ITER, OVMR, OVMRUB =           7   62961.6796875   64020.2929688
 CG ITER, OVMR, OVMRUB =           8   64020.2929688   64020.2929688
 CG ITER, OVMR, OVMRUB =           9   64020.2851562   64020.2929688
 CG ITER, OVMR, OVMRUB =          10   63985.6250000   64020.2929688
 CG ITER, OVMR, OVMRUB =          11   62323.6406250   64020.2929688
 CG ITER, OVMR, OVMRUB =          12   62203.0390625   64020.2929688
 CG ITER, OVMR, OVMRUB =          13   60589.1484375   64020.2929688
 CG ITER, OVMR, OVMRUB =          14   58702.7578125   64020.2929688
 CG ITER, OVMR, OVMRUB =          15   57872.1757812   64020.2929688
 CG ITER, OVMR, OVMRUB =          16   57374.7617188   64020.2929688
 CG ITER, OVMR, OVMRUB =          17   57423.7539062   62840.8320312
 CG ITER, OVMR, OVMRUB =          18   57494.6171875   62840.8320312
 CG ITER, OVMR, OVMRUB =          19   57521.0429688   62292.1250000
 CG ITER, OVMR, OVMRUB =          20   57557.7070312   62292.1250000
 CG ITER, OVMR, OVMRUB =          21   57578.8281250   62292.1250000
 CG ITER, OVMR, OVMRUB =          22   57593.5898438   62292.1250000
 CG ITER, OVMR, OVMRUB =          23   57625.0195312   62219.1250000
 CG ITER, OVMR, OVMRUB =          24   57643.2539062   62219.1250000
 CG ITER, OVMR, OVMRUB =          25   57673.6875000   62054.7578125
 CG ITER, OVMR, OVMRUB =          26   57689.0429688   62054.7578125
 CG ITER, OVMR, OVMRUB =          27   57702.2265625   62054.7578125
 CG ITER, OVMR, OVMRUB =          28   57741.7343750   62054.7578125
 CG ITER, OVMR, OVMRUB =          29   57756.7539062   62054.7578125
 CG ITER, OVMR, OVMRUB =          30   57771.7578125   61974.0664062
 CG ITER, OVMR, OVMRUB =          31   57793.5664062   61974.0664062
 CG ITER, OVMR, OVMRUB =          32   57810.8437500   61974.0664062
 CG ITER, OVMR, OVMRUB =          33   57819.4023438   61974.0664062
 CG ITER, OVMR, OVMRUB =          34   57851.9960938   61755.1523438
 CG ITER, OVMR, OVMRUB =          35   57860.8750000   61755.1523438
 CG ITER, OVMR, OVMRUB =          36   57875.9960938   61755.1523438
 CG ITER, OVMR, OVMRUB =          37   57893.1562500   61755.1523438
 CG ITER, OVMR, OVMRUB =          38   57910.4531250   61755.1523438
 CG ITER, OVMR, OVMRUB =          39   57947.0976562   61755.1523438
 CG ITER, OVMR, OVMRUB =          40   57633.3906250   61755.1523438
 CG ITER, OVMR, OVMRUB =          41   56952.9921875   61755.1523438
 CG ITER, OVMR, OVMRUB =          42   57064.8750000   61755.1523438
 CG ITER, OVMR, OVMRUB =          43   57180.7460938   61755.1523438
 CG ITER, OVMR, OVMRUB =          44   57252.8164062   61755.1523438
 CG ITER, OVMR, OVMRUB =          45   57307.4960938   61755.1523438
 CG ITER, OVMR, OVMRUB =          46   57361.8867188   61755.1523438
 CG ITER, OVMR, OVMRUB =          47   57401.8750000   61755.1523438
 CG ITER, OVMR, OVMRUB =          48   57429.2109375   61755.1523438
 CG ITER, OVMR, OVMRUB =          49   57467.9765625   61755.1523438
 CG ITER, OVMR, OVMRUB =          50   57501.8632812   61755.1523438
 CG ITER, OVMR, OVMRUB =          51   57533.6132812   61755.1523438
