 CG ITER, OVMR, OVMRUB =           1  129262.3750000  129262.3515625
 CG ITER, OVMR, OVMRUB =           2  121639.8828125  121639.8828125
 CG ITER, OVMR, OVMRUB =           3  121639.8671875  121639.8828125
 CG ITER, OVMR, OVMRUB =           4  121627.4218750  121639.8828125
 CG ITER, OVMR, OVMRUB =           5  106848.9218750  121639.8828125
 CG ITER, OVMR, OVMRUB =           6  104930.5625000  121639.8828125
 CG ITER, OVMR, OVMRUB =           7  103697.6015625  121639.8828125
 CG ITER, OVMR, OVMRUB =           8  102905.1875000  121639.8828125
 CG ITER, OVMR, OVMRUB =           9  102461.5859375  121639.8828125
 CG ITER, OVMR, OVMRUB =          10  102062.6562500  121639.8828125
 CG ITER, OVMR, OVMRUB =          11  101587.0546875  121639.8828125
 CG ITER, OVMR, OVMRUB =          12  100919.3281250  121639.8828125
 CG ITER, OVMR, OVMRUB =          13  100485.6875000  121639.8828125
 CG ITER, OVMR, OVMRUB =          14  100245.6015625  121639.8828125
 CG ITER, OVMR, OVMRUB =          15   99937.2109375  121639.8828125
 CG ITER, OVMR, OVMRUB =          16   99574.0468750  121639.8828125
 CG ITER, OVMR, OVMRUB =          17   99280.8125000  121639.8828125
 CG ITER, OVMR, OVMRUB =          18   98912.6406250  121639.8828125
 CG ITER, OVMR, OVMRUB =          19   98814.2968750  121639.8828125
 CG ITER, OVMR, OVMRUB =          20   98505.1250000  121639.8828125
 CG ITER, OVMR, OVMRUB =          21   98363.5859375  121639.8828125
 CG ITER, OVMR, OVMRUB =          22   98120.5468750  121639.8828125
 CG ITER, OVMR, OVMRUB =          23   97998.0078125  120817.9843750
 CG ITER, OVMR, OVMRUB =          24   97840.8906250  120817.9843750
 CG ITER, OVMR, OVMRUB =          25   97700.3593750  120817.9843750
 CG ITER, OVMR, OVMRUB =          26   97564.0312500  120817.9843750
 CG ITER, OVMR, OVMRUB =          27   97414.8203125  120817.9843750
 CG ITER, OVMR, OVMRUB =          28   97346.4843750  120817.9843750
 CG ITER, OVMR, OVMRUB =          29   97195.9140625  120817.9843750
 CG ITER, OVMR, OVMRUB =          30   97052.2656250  120817.9843750
 CG ITER, OVMR, OVMRUB =          31   96914.5546875  120817.9843750
 CG ITER, OVMR, OVMRUB =          32   96777.3750000  120817.9843750
 CG ITER, OVMR, OVMRUB =          33   96692.4453125  120817.9843750
 CG ITER, OVMR, OVMRUB =          34   96599.1406250  120817.9843750
 CG ITER, OVMR, OVMRUB =          35   96542.7890625  120817.9843750
 CG ITER, OVMR, OVMRUB =          36   96488.9843750  120817.9843750
 CG ITER, OVMR, OVMRUB =          37   96404.3359375  120817.9843750
 CG ITER, OVMR, OVMRUB =          38   96324.8984375  120817.9843750
 CG ITER, OVMR, OVMRUB =          39   96245.0078125  120817.9843750
 CG ITER, OVMR, OVMRUB =          40   96196.5000000  120817.9843750
 CG ITER, OVMR, OVMRUB =          41   96083.7578125  120817.9843750
 CG ITER, OVMR, OVMRUB =          42   96001.5703125  120817.9843750
 CG ITER, OVMR, OVMRUB =          43   96001.7343750  120817.9843750
 CG ITER, OVMR, OVMRUB =          44   95944.9843750  120797.5000000
 CG ITER, OVMR, OVMRUB =          45   95864.6562500  120797.5000000
 CG ITER, OVMR, OVMRUB =          46   95803.9765625  120797.5000000
 CG ITER, OVMR, OVMRUB =          47   95752.3359375  120797.5000000
 CG ITER, OVMR, OVMRUB =          48   95669.2812500  120797.5000000
 CG ITER, OVMR, OVMRUB =          49   95643.0078125  120797.5000000
 CG ITER, OVMR, OVMRUB =          50   95609.8203125  120797.5000000
 CG ITER, OVMR, OVMRUB =          51   95582.0859375  120797.5000000
 CG ITER, OVMR, OVMRUB =          52   95539.1796875  120797.5000000
 CG ITER, OVMR, OVMRUB =          53   95520.7890625  120797.5000000
 CG ITER, OVMR, OVMRUB =          54   95495.8593750  120797.5000000
 CG ITER, OVMR, OVMRUB =          55   95467.5000000  120797.5000000
 CG ITER, OVMR, OVMRUB =          56   95488.1796875  120797.5000000
 CG ITER, OVMR, OVMRUB =          57   95435.6718750  120797.5000000
 CG ITER, OVMR, OVMRUB =          58   95444.5781250  120797.5000000
 CG ITER, OVMR, OVMRUB =          59   95438.6328125  120797.5000000
 CG ITER, OVMR, OVMRUB =          60   95425.2890625  120797.5000000
 CG ITER, OVMR, OVMRUB =          61   95404.5468750  120797.5000000
 CG ITER, OVMR, OVMRUB =          62   95396.7187500  120797.5000000
 CG ITER, OVMR, OVMRUB =          63   95374.9218750  120003.8906250
 CG ITER, OVMR, OVMRUB =          64   95372.8593750  120003.8906250
 CG ITER, OVMR, OVMRUB =          65   95394.8437500  120003.8906250
 CG ITER, OVMR, OVMRUB =          66   95359.4140625  120003.8906250
 CG ITER, OVMR, OVMRUB =          67   95346.1562500  120003.8906250
 CG ITER, OVMR, OVMRUB =          68   95349.2968750  120003.8906250
