 CG ITER, OVMR, OVMRUB =           1   66033.2031250   66033.2031250
 CG ITER, OVMR, OVMRUB =           2   64048.5781250   64048.5742188
 CG ITER, OVMR, OVMRUB =           3   64048.5781250   64048.5742188
 CG ITER, OVMR, OVMRUB =           4   64048.5820312   64048.5742188
 CG ITER, OVMR, OVMRUB =           5   64048.5742188   64048.5742188
 CG ITER, OVMR, OVMRUB =           6   64048.5742188   64048.5742188
 CG ITER, OVMR, OVMRUB =           7   64048.5703125   64048.5742188
 CG ITER, OVMR, OVMRUB =           8   63945.9570312   64048.5742188
 CG ITER, OVMR, OVMRUB =           9   64048.5507812   64048.5742188
 CG ITER, OVMR, OVMRUB =          10   64048.5273438   64048.5742188
 CG ITER, OVMR, OVMRUB =          11   62856.5507812   64048.5742188
 CG ITER, OVMR, OVMRUB =          12   61509.0664062   64048.5742188
 CG ITER, OVMR, OVMRUB =          13   61774.2070312   64048.5742188
 CG ITER, OVMR, OVMRUB =          14   60633.3789062   64048.5742188
 CG ITER, OVMR, OVMRUB =          15   60235.9648438   63897.1054688
 CG ITER, OVMR, OVMRUB =          16   58525.3320312   63897.1054688
 CG ITER, OVMR, OVMRUB =          17   57298.0468750   62989.3945312
 CG ITER, OVMR, OVMRUB =          18   56829.0585938   62989.3945312
 CG ITER, OVMR, OVMRUB =          19   56011.7226562   62989.3945312
 CG ITER, OVMR, OVMRUB =          20   55750.8085938   62989.3945312
 CG ITER, OVMR, OVMRUB =          21   55849.5429688   62989.3945312
 CG ITER, OVMR, OVMRUB =          22   55568.3046875   61758.4960938
 CG ITER, OVMR, OVMRUB =          23   55621.0546875   61758.4960938
 CG ITER, OVMR, OVMRUB =          24   55739.1875000   61758.4960938
 CG ITER, OVMR, OVMRUB =          25   55870.7539062   61758.4960938
 CG ITER, OVMR, OVMRUB =          26   55981.5117188   61265.4335938
 CG ITER, OVMR, OVMRUB =          27   56079.4023438   59995.2109375
 CG ITER, OVMR, OVMRUB =          28   56155.3085938   59995.2109375
 CG ITER, OVMR, OVMRUB =          29   56160.3945312   59995.2109375
 CG ITER, OVMR, OVMRUB =          30   56128.5429688   59995.2109375
 CG ITER, OVMR, OVMRUB =          31   56170.9492188   59995.2109375
 CG ITER, OVMR, OVMRUB =          32   56213.3750000   59995.2109375
 CG ITER, OVMR, OVMRUB =          33   56256.5742188   59995.2109375
 CG ITER, OVMR, OVMRUB =          34   56299.8242188   59995.2109375
 CG ITER, OVMR, OVMRUB =          35   56351.4882812   59995.2109375
 CG ITER, OVMR, OVMRUB =          36   56396.8710938   59995.2109375
 CG ITER, OVMR, OVMRUB =          37   56430.6210938   59995.2109375
 CG ITER, OVMR, OVMRUB =          38   56479.3671875   59995.2109375
 CG ITER, OVMR, OVMRUB =          39   56534.9101562   59995.2109375
 CG ITER, OVMR, OVMRUB =          40   56543.1523438   59995.2109375
 CG ITER, OVMR, OVMRUB =          41   56578.5664062   59995.2109375
 CG ITER, OVMR, OVMRUB =          42   56617.6445312   59995.2109375
 CG ITER, OVMR, OVMRUB =          43   56651.5234375   59995.2109375
 CG ITER, OVMR, OVMRUB =          44   56685.8789062   59995.2109375
 CG ITER, OVMR, OVMRUB =          45   56721.7031250   59995.2109375
 CG ITER, OVMR, OVMRUB =          46   56760.1015625   59995.2109375
 CG ITER, OVMR, OVMRUB =          47   56788.4648438   59995.2109375
 CG ITER, OVMR, OVMRUB =          48   56828.6328125   59995.2109375
 CG ITER, OVMR, OVMRUB =          49   56860.7890625   59995.2109375
 CG ITER, OVMR, OVMRUB =          50   56894.8007812   59995.2109375
 CG ITER, OVMR, OVMRUB =          51   56925.8281250   59995.2109375
 CG ITER, OVMR, OVMRUB =          52   56960.0625000   59995.2109375
 CG ITER, OVMR, OVMRUB =          53   56995.5195312   59995.2109375
 CG ITER, OVMR, OVMRUB =          54   57028.3671875   59995.2109375
 CG ITER, OVMR, OVMRUB =          55   57060.5546875   59995.2109375
 CG ITER, OVMR, OVMRUB =          56   57086.7304688   59919.5273438
 CG ITER, OVMR, OVMRUB =          57   57114.4101562   59919.5273438
 CG ITER, OVMR, OVMRUB =          58   57146.0195312   59919.5273438
 CG ITER, OVMR, OVMRUB =          59   57168.6250000   59919.5273438
 CG ITER, OVMR, OVMRUB =          60   57189.3125000   59919.5273438
 CG ITER, OVMR, OVMRUB =          61   57221.7500000   59919.5273438
 CG ITER, OVMR, OVMRUB =          62   57242.3203125   59919.5273438
 CG ITER, OVMR, OVMRUB =          63   57271.1718750   59552.7187500
 CG ITER, OVMR, OVMRUB =          64   57295.0312500   59552.7187500
 CG ITER, OVMR, OVMRUB =          65   57310.8007812   59552.7187500
 CG ITER, OVMR, OVMRUB =          66   57336.6015625   59552.7187500
 CG ITER, OVMR, OVMRUB =          67   57354.2460938   59552.7187500
 CG ITER, OVMR, OVMRUB =          68   57379.0000000   59552.7187500
 CG ITER, OVMR, OVMRUB =          69   57392.0078125   59552.7187500
 CG ITER, OVMR, OVMRUB =          70   57409.6757812   59552.7187500
 CG ITER, OVMR, OVMRUB =          71   57428.6484375   59552.7187500
 CG ITER, OVMR, OVMRUB =          72   57453.5273438   59552.7187500
 CG ITER, OVMR, OVMRUB =          73   57465.2968750   59552.7187500
 CG ITER, OVMR, OVMRUB =          74   57439.5429688   59552.7187500
 CG ITER, OVMR, OVMRUB =          75   57474.5859375   59552.7187500
 CG ITER, OVMR, OVMRUB =          76   57496.3085938   59552.7187500
