 CG ITER, OVMR, OVMRUB =           1  122731.3593750  122731.3593750
 CG ITER, OVMR, OVMRUB =           2  122731.3593750  122731.3593750
 CG ITER, OVMR, OVMRUB =           3  120472.6562500  120472.6562500
 CG ITER, OVMR, OVMRUB =           4  111052.0468750  120472.6562500
 CG ITER, OVMR, OVMRUB =           5   98766.3984375  119250.8359375
 CG ITER, OVMR, OVMRUB =           6   97758.2031250  119250.8359375
 CG ITER, OVMR, OVMRUB =           7   96888.2343750  119250.8359375
 CG ITER, OVMR, OVMRUB =           8   96282.0156250  119250.8359375
 CG ITER, OVMR, OVMRUB =           9   95878.3359375  119250.8359375
 CG ITER, OVMR, OVMRUB =          10   95377.6328125  119250.8359375
 CG ITER, OVMR, OVMRUB =          11   94949.7265625  119250.8359375
 CG ITER, OVMR, OVMRUB =          12   94734.1562500  119250.8359375
 CG ITER, OVMR, OVMRUB =          13   94427.5312500  119250.8359375
 CG ITER, OVMR, OVMRUB =          14   94172.4765625  119250.8359375
 CG ITER, OVMR, OVMRUB =          15   93917.5312500  119250.8359375
 CG ITER, OVMR, OVMRUB =          16   93746.8984375  119250.8359375
 CG ITER, OVMR, OVMRUB =          17   93576.6406250  119250.8359375
 CG ITER, OVMR, OVMRUB =          18   93303.3203125  119250.8359375
 CG ITER, OVMR, OVMRUB =          19   93119.1875000  119250.8359375
 CG ITER, OVMR, OVMRUB =          20   92927.3125000  119250.8359375
 CG ITER, OVMR, OVMRUB =          21   92746.5078125  119250.8359375
 CG ITER, OVMR, OVMRUB =          22   92623.8125000  119250.8359375
 CG ITER, OVMR, OVMRUB =          23   92495.2187500  119250.8359375
 CG ITER, OVMR, OVMRUB =          24   92304.6171875  119250.8359375
 CG ITER, OVMR, OVMRUB =          25   92188.7734375  119250.8359375
 CG ITER, OVMR, OVMRUB =          26   92064.2578125  115166.9453125
 CG ITER, OVMR, OVMRUB =          27   91963.5625000  113845.7031250
 CG ITER, OVMR, OVMRUB =          28   91792.7812500  112193.9687500
 CG ITER, OVMR, OVMRUB =          29   91687.0781250  112193.9687500
 CG ITER, OVMR, OVMRUB =          30   91548.0078125  112193.9687500
 CG ITER, OVMR, OVMRUB =          31   91500.1250000  112193.9687500
 CG ITER, OVMR, OVMRUB =          32   91382.4062500  112193.9687500
 CG ITER, OVMR, OVMRUB =          33   91310.4296875  112193.9687500
 CG ITER, OVMR, OVMRUB =          34   91233.2968750  112193.9687500
 CG ITER, OVMR, OVMRUB =          35   91204.9453125  112193.9687500
 CG ITER, OVMR, OVMRUB =          36   91084.7109375  112193.9687500
