 CG ITER, OVMR, OVMRUB =           1   48160.6953125   48160.6914062
 CG ITER, OVMR, OVMRUB =           2   48160.6914062   48160.6914062
 CG ITER, OVMR, OVMRUB =           3   48059.8515625   48059.8515625
 CG ITER, OVMR, OVMRUB =           4   48059.8476562   48059.8515625
 CG ITER, OVMR, OVMRUB =           5   48059.8437500   48059.8515625
 CG ITER, OVMR, OVMRUB =           6   48059.8554688   48059.8515625
 CG ITER, OVMR, OVMRUB =           7   47083.9648438   48059.8515625
 CG ITER, OVMR, OVMRUB =           8   45642.6328125   48059.8515625
 CG ITER, OVMR, OVMRUB =           9   46185.1132812   48059.8515625
 CG ITER, OVMR, OVMRUB =          10   46477.7617188   48059.8515625
 CG ITER, OVMR, OVMRUB =          11   45502.8867188   48059.8515625
 CG ITER, OVMR, OVMRUB =          12   45764.0976562   48059.8515625
 CG ITER, OVMR, OVMRUB =          13   46033.4140625   48059.8515625
 CG ITER, OVMR, OVMRUB =          14   43527.7343750   48059.8515625
 CG ITER, OVMR, OVMRUB =          15   43548.1093750   48059.8515625
 CG ITER, OVMR, OVMRUB =          16   41884.8789062   48059.8515625
 CG ITER, OVMR, OVMRUB =          17   40011.6601562   48059.8515625
 CG ITER, OVMR, OVMRUB =          18   38765.7148438   48059.8515625
 CG ITER, OVMR, OVMRUB =          19   37734.0781250   47955.3984375
 CG ITER, OVMR, OVMRUB =          20   36204.5000000   47955.3984375
 CG ITER, OVMR, OVMRUB =          21   35353.0234375   47955.3984375
 CG ITER, OVMR, OVMRUB =          22   35402.3164062   46335.1562500
 CG ITER, OVMR, OVMRUB =          23   35327.5351562   46335.1562500
 CG ITER, OVMR, OVMRUB =          24   35192.0312500   46335.1562500
 CG ITER, OVMR, OVMRUB =          25   34533.5820312   46335.1562500
 CG ITER, OVMR, OVMRUB =          26   34968.2968750   46335.1562500
 CG ITER, OVMR, OVMRUB =          27   35377.6445312   46335.1562500
 CG ITER, OVMR, OVMRUB =          28   35738.7851562   46335.1562500
 CG ITER, OVMR, OVMRUB =          29   36047.1953125   46335.1562500
 CG ITER, OVMR, OVMRUB =          30   36274.8085938   46335.1562500
 CG ITER, OVMR, OVMRUB =          31   36492.3007812   46335.1562500
 CG ITER, OVMR, OVMRUB =          32   36481.6015625   46335.1562500
 CG ITER, OVMR, OVMRUB =          33   36863.3164062   46335.1562500
 CG ITER, OVMR, OVMRUB =          34   37106.8281250   46335.1562500
 CG ITER, OVMR, OVMRUB =          35   37285.4179688   46335.1562500
 CG ITER, OVMR, OVMRUB =          36   37394.3281250   46335.1562500
 CG ITER, OVMR, OVMRUB =          37   37506.5195312   46335.1562500
 CG ITER, OVMR, OVMRUB =          38   37618.9453125   46335.1562500
 CG ITER, OVMR, OVMRUB =          39   37725.2617188   46335.1562500
 CG ITER, OVMR, OVMRUB =          40   37834.9843750   46335.1562500
 CG ITER, OVMR, OVMRUB =          41   37949.1796875   46335.1562500
 CG ITER, OVMR, OVMRUB =          42   38020.0078125   46335.1562500
