 CG ITER, OVMR, OVMRUB =           1  100536.4765625  100536.4765625
 CG ITER, OVMR, OVMRUB =           2  100166.5546875  100166.5546875
 CG ITER, OVMR, OVMRUB =           3  100166.5625000  100166.5546875
 CG ITER, OVMR, OVMRUB =           4  100134.2265625  100166.5546875
 CG ITER, OVMR, OVMRUB =           5   99000.8359375  100166.5546875
 CG ITER, OVMR, OVMRUB =           6   99520.3750000  100166.5546875
 CG ITER, OVMR, OVMRUB =           7   99101.4062500  100166.5546875
 CG ITER, OVMR, OVMRUB =           8   98643.4609375  100166.5546875
 CG ITER, OVMR, OVMRUB =           9   97540.2578125  100166.5546875
 CG ITER, OVMR, OVMRUB =          10   96714.5234375  100166.5546875
 CG ITER, OVMR, OVMRUB =          11   96599.0468750  100166.5546875
 CG ITER, OVMR, OVMRUB =          12   96092.8828125  100166.5546875
 CG ITER, OVMR, OVMRUB =          13   95798.7031250  100166.5546875
 CG ITER, OVMR, OVMRUB =          14   95498.2968750  100166.5546875
 CG ITER, OVMR, OVMRUB =          15   95308.9687500  100166.5546875
 CG ITER, OVMR, OVMRUB =          16   95066.5468750  100166.5546875
 CG ITER, OVMR, OVMRUB =          17   94858.2812500  100166.5546875
 CG ITER, OVMR, OVMRUB =          18   94656.5546875  100166.5546875
 CG ITER, OVMR, OVMRUB =          19   94548.8437500  100166.5546875
 CG ITER, OVMR, OVMRUB =          20   94501.5234375  100166.5546875
 CG ITER, OVMR, OVMRUB =          21   94360.3046875  100166.5546875
 CG ITER, OVMR, OVMRUB =          22   94331.5156250  100166.5546875
 CG ITER, OVMR, OVMRUB =          23   94283.9843750  100166.5546875
 CG ITER, OVMR, OVMRUB =          24   94219.9453125  100166.5546875
 CG ITER, OVMR, OVMRUB =          25   94081.2578125  100166.5546875
 CG ITER, OVMR, OVMRUB =          26   93979.1562500  100166.5546875
 CG ITER, OVMR, OVMRUB =          27   93894.1328125  100166.5546875
 CG ITER, OVMR, OVMRUB =          28   93804.0546875  100166.5546875
 CG ITER, OVMR, OVMRUB =          29   93685.8281250  100166.5546875
 CG ITER, OVMR, OVMRUB =          30   93517.3984375  100166.5546875
 CG ITER, OVMR, OVMRUB =          31   93326.9140625  100166.5546875
 CG ITER, OVMR, OVMRUB =          32   93198.7656250  100166.5546875
 CG ITER, OVMR, OVMRUB =          33   93110.9296875  100166.5546875
 CG ITER, OVMR, OVMRUB =          34   93080.6484375  100166.5546875
 CG ITER, OVMR, OVMRUB =          35   92998.8125000  100166.5546875
 CG ITER, OVMR, OVMRUB =          36   92904.2890625  100166.5546875
 CG ITER, OVMR, OVMRUB =          37   92831.7968750  100166.5546875
 CG ITER, OVMR, OVMRUB =          38   92753.4609375  100166.5546875
 CG ITER, OVMR, OVMRUB =          39   92679.4531250  100166.5546875
 CG ITER, OVMR, OVMRUB =          40   92593.1640625  100166.5546875
 CG ITER, OVMR, OVMRUB =          41   92535.2421875  100166.5546875
 CG ITER, OVMR, OVMRUB =          42   92478.6250000  100166.5546875
 CG ITER, OVMR, OVMRUB =          43   92404.0078125  100166.5546875
 CG ITER, OVMR, OVMRUB =          44   92326.2187500  100166.5546875
 CG ITER, OVMR, OVMRUB =          45   92261.0859375  100166.5546875
 CG ITER, OVMR, OVMRUB =          46   92209.5234375  100166.5546875
 CG ITER, OVMR, OVMRUB =          47   92148.2187500  100166.5546875
 CG ITER, OVMR, OVMRUB =          48   92092.1484375  100166.5546875
 CG ITER, OVMR, OVMRUB =          49   92050.7343750  100166.5546875
 CG ITER, OVMR, OVMRUB =          50   92002.8281250  100166.5546875
 CG ITER, OVMR, OVMRUB =          51   91952.3671875  100166.5546875
 CG ITER, OVMR, OVMRUB =          52   91904.1093750  100166.5546875
 CG ITER, OVMR, OVMRUB =          53   91868.0312500  100166.5546875
 CG ITER, OVMR, OVMRUB =          54   91835.5468750  100166.5546875
 CG ITER, OVMR, OVMRUB =          55   91800.5312500  100166.5546875
 CG ITER, OVMR, OVMRUB =          56   91773.5078125  100166.5546875
 CG ITER, OVMR, OVMRUB =          57   91740.6171875  100166.5546875
 CG ITER, OVMR, OVMRUB =          58   91708.6484375  100166.5546875
 CG ITER, OVMR, OVMRUB =          59   91673.0859375  100166.5546875
 CG ITER, OVMR, OVMRUB =          60   91649.3828125  100166.5546875
 CG ITER, OVMR, OVMRUB =          61   91630.6640625  100166.5546875
 CG ITER, OVMR, OVMRUB =          62   91607.8984375  100166.5546875
 CG ITER, OVMR, OVMRUB =          63   91574.8984375  100166.5546875
 CG ITER, OVMR, OVMRUB =          64   91548.9531250  100166.5546875
 CG ITER, OVMR, OVMRUB =          65   91522.5468750  100166.5546875
 CG ITER, OVMR, OVMRUB =          66   91507.8593750  100166.5546875
 CG ITER, OVMR, OVMRUB =          67   91485.8671875  100166.5546875
 CG ITER, OVMR, OVMRUB =          68   91466.2265625  100166.5546875
 CG ITER, OVMR, OVMRUB =          69   91453.1250000  100166.5546875
 CG ITER, OVMR, OVMRUB =          70   91433.9218750  100166.5546875
 CG ITER, OVMR, OVMRUB =          71   91425.1406250  100166.5546875
 CG ITER, OVMR, OVMRUB =          72   91398.5156250  100166.5546875
 CG ITER, OVMR, OVMRUB =          73   91383.0234375  100166.5546875
 CG ITER, OVMR, OVMRUB =          74   91369.6250000  100166.5546875
 CG ITER, OVMR, OVMRUB =          75   91357.1328125  100166.5546875
 CG ITER, OVMR, OVMRUB =          76   91348.9843750  100166.5546875
 CG ITER, OVMR, OVMRUB =          77   91336.0859375  100166.5546875
 CG ITER, OVMR, OVMRUB =          78   91323.5546875  100166.5546875
 CG ITER, OVMR, OVMRUB =          79   91316.9140625  100166.5546875
 CG ITER, OVMR, OVMRUB =          80   91310.7500000  100166.5546875
 CG ITER, OVMR, OVMRUB =          81   91298.4453125  100166.5546875
 CG ITER, OVMR, OVMRUB =          82   91294.1171875  100166.5546875
 CG ITER, OVMR, OVMRUB =          83   91292.2890625  100166.5546875
 CG ITER, OVMR, OVMRUB =          84   91286.1953125  100166.5546875
 CG ITER, OVMR, OVMRUB =          85   91281.3593750  100166.5546875
 CG ITER, OVMR, OVMRUB =          86   91281.2812500  100166.5546875
 CG ITER, OVMR, OVMRUB =          87   91274.9531250  100166.5546875
 CG ITER, OVMR, OVMRUB =          88   91274.6796875  100166.5546875
 CG ITER, OVMR, OVMRUB =          89   91273.4921875  100166.5546875
 CG ITER, OVMR, OVMRUB =          90   91266.0312500  100166.5546875
 CG ITER, OVMR, OVMRUB =          91   91265.3750000  100166.5546875
 CG ITER, OVMR, OVMRUB =          92   91263.6250000  100166.5546875
 CG ITER, OVMR, OVMRUB =          93   91261.6796875  100166.5546875
 CG ITER, OVMR, OVMRUB =          94   91260.4765625  100166.5546875
 CG ITER, OVMR, OVMRUB =          95   91259.1562500   99248.5234375
 CG ITER, OVMR, OVMRUB =          96   91256.9453125   99248.5234375
 CG ITER, OVMR, OVMRUB =          97   91254.0156250   99248.5234375
 CG ITER, OVMR, OVMRUB =          98   91255.1093750   99248.5234375
 CG ITER, OVMR, OVMRUB =          99   91253.8593750   98064.4453125
 CG ITER, OVMR, OVMRUB =         100   91252.8593750   98064.4453125
 CG ITER, OVMR, OVMRUB =         101   91252.0156250   98064.4453125
 CG ITER, OVMR, OVMRUB =         102   91247.5156250   98064.4453125
 CG ITER, OVMR, OVMRUB =         103   91248.5703125   98064.4453125
 CG ITER, OVMR, OVMRUB =         104   91246.0078125   98064.4453125
 CG ITER, OVMR, OVMRUB =         105   91247.9921875   98064.4453125
 CG ITER, OVMR, OVMRUB =         106   91246.8281250   98064.4453125
 CG ITER, OVMR, OVMRUB =         107   91247.7968750   98064.4453125
 CG ITER, OVMR, OVMRUB =         108   91247.1796875   98064.4453125
 CG ITER, OVMR, OVMRUB =         109   91246.7343750   98064.4453125
 CG ITER, OVMR, OVMRUB =         110   91246.7656250   98064.4453125
