 CG ITER, OVMR, OVMRUB =           1   63365.0781250   63365.0625000
 CG ITER, OVMR, OVMRUB =           2   63365.0820312   63365.0625000
 CG ITER, OVMR, OVMRUB =           3   63365.0625000   63365.0625000
 CG ITER, OVMR, OVMRUB =           4   63364.5585938   63365.0625000
 CG ITER, OVMR, OVMRUB =           5   61718.6914062   63365.0625000
 CG ITER, OVMR, OVMRUB =           6   61772.2968750   63365.0625000
 CG ITER, OVMR, OVMRUB =           7   61494.4101562   63365.0625000
 CG ITER, OVMR, OVMRUB =           8   61211.5273438   63365.0625000
 CG ITER, OVMR, OVMRUB =           9   60901.3710938   63365.0625000
 CG ITER, OVMR, OVMRUB =          10   60650.4492188   63365.0625000
 CG ITER, OVMR, OVMRUB =          11   60401.7109375   63365.0625000
 CG ITER, OVMR, OVMRUB =          12   60170.8710938   63365.0625000
 CG ITER, OVMR, OVMRUB =          13   59944.6875000   63365.0625000
 CG ITER, OVMR, OVMRUB =          14   59813.6289062   63365.0625000
 CG ITER, OVMR, OVMRUB =          15   59655.4531250   63365.0625000
 CG ITER, OVMR, OVMRUB =          16   59515.2500000   63365.0625000
 CG ITER, OVMR, OVMRUB =          17   59386.1250000   63365.0625000
 CG ITER, OVMR, OVMRUB =          18   59271.3945312   63365.0625000
 CG ITER, OVMR, OVMRUB =          19   59161.4179688   63365.0625000
 CG ITER, OVMR, OVMRUB =          20   59030.9570312   63365.0625000
 CG ITER, OVMR, OVMRUB =          21   58909.1914062   63365.0625000
 CG ITER, OVMR, OVMRUB =          22   58799.5546875   63365.0625000
 CG ITER, OVMR, OVMRUB =          23   58703.2656250   63365.0625000
 CG ITER, OVMR, OVMRUB =          24   58614.2460938   63365.0625000
 CG ITER, OVMR, OVMRUB =          25   58539.9375000   63365.0625000
 CG ITER, OVMR, OVMRUB =          26   58475.2617188   63365.0625000
 CG ITER, OVMR, OVMRUB =          27   58409.1328125   63365.0625000
 CG ITER, OVMR, OVMRUB =          28   58337.4296875   63365.0625000
 CG ITER, OVMR, OVMRUB =          29   58280.1835938   63365.0625000
 CG ITER, OVMR, OVMRUB =          30   58225.2148438   63365.0625000
 CG ITER, OVMR, OVMRUB =          31   58171.0976562   63365.0625000
 CG ITER, OVMR, OVMRUB =          32   58130.7304688   63365.0625000
 CG ITER, OVMR, OVMRUB =          33   58081.1171875   63365.0625000
 CG ITER, OVMR, OVMRUB =          34   58029.0859375   63365.0625000
 CG ITER, OVMR, OVMRUB =          35   57962.0156250   63365.0625000
 CG ITER, OVMR, OVMRUB =          36   57928.5429688   63365.0625000
 CG ITER, OVMR, OVMRUB =          37   57873.5078125   63365.0625000
 CG ITER, OVMR, OVMRUB =          38   57827.2109375   63365.0625000
 CG ITER, OVMR, OVMRUB =          39   57769.5000000   63365.0625000
 CG ITER, OVMR, OVMRUB =          40   57743.8164062   63365.0625000
 CG ITER, OVMR, OVMRUB =          41   57700.1445312   63365.0625000
 CG ITER, OVMR, OVMRUB =          42   57661.8593750   63365.0625000
