 CG ITER, OVMR, OVMRUB =           1  111205.4609375  111205.4531250
 CG ITER, OVMR, OVMRUB =           2  105933.0468750  105933.0468750
 CG ITER, OVMR, OVMRUB =           3  105933.0312500  105933.0468750
 CG ITER, OVMR, OVMRUB =           4  105913.5000000  105933.0468750
 CG ITER, OVMR, OVMRUB =           5  105274.1171875  105933.0468750
 CG ITER, OVMR, OVMRUB =           6  104679.2343750  105933.0468750
 CG ITER, OVMR, OVMRUB =           7  104522.8984375  105933.0468750
 CG ITER, OVMR, OVMRUB =           8  103477.2812500  105933.0468750
 CG ITER, OVMR, OVMRUB =           9  101979.7968750  105933.0468750
 CG ITER, OVMR, OVMRUB =          10  101681.3125000  105933.0468750
 CG ITER, OVMR, OVMRUB =          11  100021.0234375  105933.0468750
 CG ITER, OVMR, OVMRUB =          12   99754.2656250  105933.0468750
 CG ITER, OVMR, OVMRUB =          13   99394.9296875  105933.0468750
 CG ITER, OVMR, OVMRUB =          14   99121.8359375  105933.0468750
 CG ITER, OVMR, OVMRUB =          15   98711.4140625  105933.0468750
 CG ITER, OVMR, OVMRUB =          16   98361.2343750  105933.0468750
 CG ITER, OVMR, OVMRUB =          17   97841.5234375  105933.0468750
 CG ITER, OVMR, OVMRUB =          18   97769.7031250  105933.0468750
 CG ITER, OVMR, OVMRUB =          19   97772.6640625  105933.0468750
 CG ITER, OVMR, OVMRUB =          20   97610.4062500  105933.0468750
 CG ITER, OVMR, OVMRUB =          21   97690.7265625  105933.0468750
 CG ITER, OVMR, OVMRUB =          22   97584.2031250  105933.0468750
 CG ITER, OVMR, OVMRUB =          23   97520.0156250  105933.0468750
 CG ITER, OVMR, OVMRUB =          24   97374.7031250  105933.0468750
 CG ITER, OVMR, OVMRUB =          25   97159.7578125  105933.0468750
 CG ITER, OVMR, OVMRUB =          26   96973.7500000  105933.0468750
 CG ITER, OVMR, OVMRUB =          27   96772.7109375  105933.0468750
 CG ITER, OVMR, OVMRUB =          28   96607.4140625  105933.0468750
 CG ITER, OVMR, OVMRUB =          29   96438.6484375  105933.0468750
 CG ITER, OVMR, OVMRUB =          30   96272.4921875  105933.0468750
 CG ITER, OVMR, OVMRUB =          31   96098.9453125  105933.0468750
 CG ITER, OVMR, OVMRUB =          32   95933.3671875  105933.0468750
 CG ITER, OVMR, OVMRUB =          33   95686.3984375  105933.0468750
 CG ITER, OVMR, OVMRUB =          34   95493.5078125  105933.0468750
 CG ITER, OVMR, OVMRUB =          35   95377.2812500  105933.0468750
 CG ITER, OVMR, OVMRUB =          36   95250.1796875  105933.0468750
 CG ITER, OVMR, OVMRUB =          37   95130.3906250  105933.0468750
 CG ITER, OVMR, OVMRUB =          38   94982.8125000  105933.0468750
 CG ITER, OVMR, OVMRUB =          39   94856.8437500  105933.0468750
 CG ITER, OVMR, OVMRUB =          40   94778.0156250  105933.0468750
 CG ITER, OVMR, OVMRUB =          41   94683.4062500  105933.0468750
 CG ITER, OVMR, OVMRUB =          42   94565.9687500  105933.0468750
 CG ITER, OVMR, OVMRUB =          43   94488.5234375  105933.0468750
 CG ITER, OVMR, OVMRUB =          44   94382.9687500  105933.0468750
 CG ITER, OVMR, OVMRUB =          45   94290.1718750  105933.0468750
 CG ITER, OVMR, OVMRUB =          46   94193.0625000  105933.0468750
 CG ITER, OVMR, OVMRUB =          47   94090.1093750  105933.0468750
 CG ITER, OVMR, OVMRUB =          48   94031.6640625  105933.0468750
 CG ITER, OVMR, OVMRUB =          49   93963.2500000  105933.0468750
 CG ITER, OVMR, OVMRUB =          50   93886.2343750  105933.0468750
 CG ITER, OVMR, OVMRUB =          51   93808.9531250  105933.0468750
 CG ITER, OVMR, OVMRUB =          52   93742.1953125  105933.0468750
 CG ITER, OVMR, OVMRUB =          53   93683.0937500  105933.0468750
 CG ITER, OVMR, OVMRUB =          54   93633.7187500  105933.0468750
 CG ITER, OVMR, OVMRUB =          55   93569.2500000  105933.0468750
 CG ITER, OVMR, OVMRUB =          56   93532.7343750  105933.0468750
 CG ITER, OVMR, OVMRUB =          57   93498.0312500  105933.0468750
 CG ITER, OVMR, OVMRUB =          58   93453.0390625  105933.0468750
 CG ITER, OVMR, OVMRUB =          59   93418.0390625  105933.0468750
 CG ITER, OVMR, OVMRUB =          60   93388.9218750  105933.0468750
 CG ITER, OVMR, OVMRUB =          61   93362.7656250  105933.0468750
 CG ITER, OVMR, OVMRUB =          62   93319.7890625  105933.0468750
 CG ITER, OVMR, OVMRUB =          63   93280.5156250  105933.0468750
 CG ITER, OVMR, OVMRUB =          64   93250.1953125  105933.0468750
 CG ITER, OVMR, OVMRUB =          65   93221.2031250  105933.0468750
 CG ITER, OVMR, OVMRUB =          66   93185.9531250  105933.0468750
 CG ITER, OVMR, OVMRUB =          67   93160.9375000  105933.0468750
 CG ITER, OVMR, OVMRUB =          68   93132.0078125  105933.0468750
 CG ITER, OVMR, OVMRUB =          69   93112.0625000  105933.0468750
 CG ITER, OVMR, OVMRUB =          70   93096.8125000  105933.0468750
 CG ITER, OVMR, OVMRUB =          71   93077.2656250  105933.0468750
 CG ITER, OVMR, OVMRUB =          72   93055.0000000  105933.0468750
 CG ITER, OVMR, OVMRUB =          73   93039.3125000  105557.5625000
 CG ITER, OVMR, OVMRUB =          74   93021.0000000  105111.0390625
 CG ITER, OVMR, OVMRUB =          75   93002.3359375  105111.0390625
 CG ITER, OVMR, OVMRUB =          76   92974.6171875  105111.0390625
 CG ITER, OVMR, OVMRUB =          77   92963.3750000  105111.0390625
 CG ITER, OVMR, OVMRUB =          78   92953.5859375  105111.0390625
 CG ITER, OVMR, OVMRUB =          79   92940.7734375  102910.0859375
 CG ITER, OVMR, OVMRUB =          80   92921.3828125  102910.0859375
 CG ITER, OVMR, OVMRUB =          81   92909.5000000  102910.0859375
 CG ITER, OVMR, OVMRUB =          82   92901.6015625  102910.0859375
 CG ITER, OVMR, OVMRUB =          83   92894.7421875  102910.0859375
 CG ITER, OVMR, OVMRUB =          84   92883.9531250  102910.0859375
 CG ITER, OVMR, OVMRUB =          85   92880.1250000  102910.0859375
 CG ITER, OVMR, OVMRUB =          86   92876.7734375  102337.0937500
 CG ITER, OVMR, OVMRUB =          87   92864.4609375  102337.0937500
 CG ITER, OVMR, OVMRUB =          88   92857.0390625  102337.0937500
 CG ITER, OVMR, OVMRUB =          89   92850.7656250  102337.0937500
 CG ITER, OVMR, OVMRUB =          90   92849.7031250  101585.5156250
 CG ITER, OVMR, OVMRUB =          91   92845.5312500  101585.5156250
 CG ITER, OVMR, OVMRUB =          92   92845.1328125  101585.5156250
 CG ITER, OVMR, OVMRUB =          93   92845.3437500  101585.5156250
 CG ITER, OVMR, OVMRUB =          94   92842.5156250  101585.5156250
 CG ITER, OVMR, OVMRUB =          95   92843.0078125  101585.5156250
 CG ITER, OVMR, OVMRUB =          96   92840.1484375  101585.5156250
 CG ITER, OVMR, OVMRUB =          97   92838.1875000  101585.5156250
 CG ITER, OVMR, OVMRUB =          98   92835.4140625  101585.5156250
 CG ITER, OVMR, OVMRUB =          99   92834.6562500   99023.3593750
 CG ITER, OVMR, OVMRUB =         100   92834.7187500   99023.3593750
 CG ITER, OVMR, OVMRUB =         101   92834.6875000   99023.3593750
 CG ITER, OVMR, OVMRUB =         102   92833.9843750   98534.8906250
 CG ITER, OVMR, OVMRUB =         103   92833.2343750   98534.8906250
 CG ITER, OVMR, OVMRUB =         104   92832.9921875   98534.8906250
 CG ITER, OVMR, OVMRUB =         105   92832.2734375   96747.7343750
 CG ITER, OVMR, OVMRUB =         106   92832.7734375   96747.7343750
 CG ITER, OVMR, OVMRUB =         107   92832.7812500   96747.7343750
 CG ITER, OVMR, OVMRUB =         108   92832.4140625   96628.2187500
 CG ITER, OVMR, OVMRUB =         109   92832.2265625   96628.2187500
 CG ITER, OVMR, OVMRUB =         110   92831.4218750   96628.2187500
